category,code,description,unit,budget_quantity
Mechanical_Equipment,MCH.023,Inline strainer Y-type 4in,each,21
Mechanical_Equipment,MCH.024,Inline strainer basket 8in,each,8
Mechanical_Equipment,MCH.025,Silencer exhaust 6in,each,9
Storage_Tanks,TNK.001,Atmospheric storage tank 500m3,each,3
Storage_Tanks,TNK.002,Atmospheric storage tank 1000m3,each,1
Storage_Tanks,TNK.003,Atmospheric storage tank 5000m3,each,3
Storage_Tanks,TNK.004,Floating roof tank 10000m3,each,1
Storage_Tanks,TNK.005,Tank shell plate 10mm CS,ton,359
Storage_Tanks,TNK.006,Tank floor plate 8mm CS,ton,142
Storage_Tanks,TNK.007,Tank roof structure,ton,36
Storage_Tanks,TNK.008,Tank nozzle 4in CS,each,87
Storage_Tanks,TNK.009,Tank nozzle 8in CS,each,23
Storage_Tanks,TNK.010,Tank manway 600mm,each,2
Storage_Tanks,TNK.011,Tank internal floating roof,each,2
Storage_Tanks,TNK.012,Tank foam system,each,4
Storage_Tanks,TNK.013,Tank grounding system,each,2
Storage_Tanks,TNK.014,Tank level gauge mechanical,each,8
Storage_Tanks,TNK.015,Tank staircase and platform,each,1
Storage_Tanks,TNK.016,Bund lining HDPE membrane,m2,1178
Storage_Tanks,TNK.017,Secondary containment bund,m3,276
Storage_Tanks,TNK.018,Tank heating coil,m,55
Storage_Tanks,TNK.019,Tank mixing agitator,each,5
Storage_Tanks,TNK.020,Atmospheric vent with flame arrestor,each,2
Electrical,ELC.001,HV switchgear panel 11kV,each,3
Electrical,ELC.002,MV switchgear panel 3.3kV,each,4
Electrical,ELC.003,LV switchboard MCC 415V,each,3
Electrical,ELC.004,Power transformer 11kV to 415V,each,3
Electrical,ELC.005,Distribution transformer 250kVA,each,3
Electrical,ELC.006,Emergency diesel generator 500kVA,each,3
Electrical,ELC.007,UPS system 30kVA,each,5
Electrical,ELC.008,Battery charger 24VDC,each,1
Electrical,ELC.009,Motor control centre panel,each,6
Electrical,ELC.010,Variable speed drive 75kW,each,8
Electrical,ELC.011,Variable speed drive 160kW,each,1
Electrical,ELC.012,Power cable 3x240mm2 XLPE,m,1016
Electrical,ELC.013,Power cable 3x95mm2 XLPE,m,3905
Electrical,ELC.014,Power cable 3x35mm2 XLPE,m,1586
Electrical,ELC.015,Control cable 12C x 1.5mm2,m,2619
Electrical,ELC.016,Control cable 4C x 2.5mm2,m,1080
Electrical,ELC.017,Cable tray 300mm galvanised,m,168
Electrical,ELC.018,Cable tray 600mm galvanised,m,543
Electrical,ELC.019,Cable ladder 600mm galvanised,m,949
Electrical,ELC.020,Conduit GI 25mm,m,1211
Electrical,ELC.021,Conduit GI 50mm,m,211
Electrical,ELC.022,Junction box EX-proof SS,each,15
Electrical,ELC.023,Terminal box 20-way IP65,each,67
Electrical,ELC.024,Earthing cable 70mm2 BC,m,1721
Electrical,ELC.025,Earth rod 20mm x 2m copper,each,13
Electrical,ELC.026,Lighting luminaire LED 100W ATEX,each,282
Electrical,ELC.027,Lighting luminaire LED 250W,each,21
Electrical,ELC.028,Lighting pole 9m galvanised,each,21
Electrical,ELC.029,Emergency lighting fitting,each,89
Electrical,ELC.030,Socket outlet 16A EX-proof,each,65
Instrumentation_&_Control,INS.001,Control room DCS system,lot,1
Instrumentation_&_Control,INS.002,DCS IO cabinet,each,5
Instrumentation_&_Control,INS.003,DCS operator workstation,each,5
Instrumentation_&_Control,INS.004,Safety PLC system SIL2,lot,2
Instrumentation_&_Control,INS.005,SCADA server redundant,each,1
Instrumentation_&_Control,INS.006,Field control station FCS,each,4
Instrumentation_&_Control,INS.007,Pressure transmitter HART,each,192
Instrumentation_&_Control,INS.008,Differential pressure transmitter,each,44
Instrumentation_&_Control,INS.009,Temperature transmitter PT100,each,112
Instrumentation_&_Control,INS.010,Level transmitter guided wave,each,52
Instrumentation_&_Control,INS.011,Level gauge magnetic reflex,each,33
Instrumentation_&_Control,INS.012,Flow meter Coriolis 4in,each,18
Instrumentation_&_Control,INS.013,Flow meter ultrasonic 6in,each,9
Instrumentation_&_Control,INS.014,Flow meter turbine 2in,each,5
Instrumentation_&_Control,INS.015,Orifice plate and flanges 4in,each,17
Instrumentation_&_Control,INS.016,Thermowell SS316 half-in NPT,each,67
Instrumentation_&_Control,INS.017,Pressure gauge 100mm dial,each,26
Instrumentation_&_Control,INS.018,Local indicator temperature,each,96
Instrumentation_&_Control,INS.019,Gas detector point type ATEX,each,7
Instrumentation_&_Control,INS.020,Gas detector open path IR,each,20
Instrumentation_&_Control,INS.021,Flame detector UV IR dual,each,75
Instrumentation_&_Control,INS.022,Fire and gas panel FGP,each,2
Instrumentation_&_Control,INS.023,Multicore instrument cable 16P,m,1255
Instrumentation_&_Control,INS.024,Instrument cable 2P shielded,m,1904
Instrumentation_&_Control,INS.025,Instrument tubing SS half-in,m,64
Instrumentation_&_Control,INS.026,Impulse line SS quarter-in OD,m,195
Instrumentation_&_Control,INS.027,Instrument valve manifold 3-way,each,95
Instrumentation_&_Control,INS.028,Sun shade SS for transmitter,each,171
Instrumentation_&_Control,INS.029,Junction box instrument ATEX,each,12
Instrumentation_&_Control,INS.030,Intrinsic safety barrier DIN,each,68
Fire_Protection,FPS.001,Firewater ring main 6in CS,m,188
Fire_Protection,FPS.002,Firewater ring main 8in CS,m,957
Fire_Protection,FPS.003,Fire hydrant pillar type,each,4
Fire_Protection,FPS.004,Hose reel cabinet SS,each,29
Fire_Protection,FPS.005,Monitor foam and water 2000 l/m,each,6
Fire_Protection,FPS.006,Deluge valve station 6in,each,2
Fire_Protection,FPS.007,Sprinkler head upright half-in,each,273
Fire_Protection,FPS.008,Foam system fixed roof tank,each,2
Fire_Protection,FPS.009,Foam concentrate tank 5000L,each,3
Fire_Protection,FPS.010,Firewater pump diesel 500m3/h,each,3
Fire_Protection,FPS.011,Jockey pump electric 10m3/h,each,2
Fire_Protection,FPS.012,Fire alarm control panel,each,2
Fire_Protection,FPS.013,Smoke detector optical ATEX,each,74
Fire_Protection,FPS.014,Heat detector rate of rise,each,21
Fire_Protection,FPS.015,Manual call point weatherproof,each,78
Fire_Protection,FPS.016,Alarm sounder beacon combined,each,78
Fire_Protection,FPS.017,Portable CO2 extinguisher 5kg,each,65
Fire_Protection,FPS.018,Portable dry powder extinguisher 9kg,each,36
Fire_Protection,FPS.019,Wheeled CO2 extinguisher 25kg,each,8
Fire_Protection,FPS.020,Fire blanket 1.8m x 1.2m,each,15
Insulation_&_Painting,INL.001,Personnel protection insulation 2in,m2,244
Insulation_&_Painting,INL.002,Personnel protection insulation 4in,m2,146
Insulation_&_Painting,INL.003,Thermal insulation rockwool 50mm,m2,497
Insulation_&_Painting,INL.004,Thermal insulation rockwool 75mm,m2,1449
Insulation_&_Painting,INL.005,Insulation cladding aluminium 0.9mm,m2,1865
Insulation_&_Painting,INL.006,Insulation cladding SS 0.5mm,m2,412
Insulation_&_Painting,INL.007,Cold insulation PIR 50mm,m2,483
Insulation_&_Painting,INL.008,Surface preparation Sa2.5,m2,7235
Insulation_&_Painting,INL.009,Prime coat inorganic zinc silicate,m2,8151
Insulation_&_Painting,INL.010,Mid coat epoxy 80 micron,m2,1387
Insulation_&_Painting,INL.011,Topcoat polyurethane 50 micron,m2,2112
Insulation_&_Painting,INL.012,Fireproofing intumescent 2hr,m2,81
Insulation_&_Painting,INL.013,Fireproofing vermiculite 2hr,m2,256
Insulation_&_Painting,INL.014,Pipe colour coding banding,m,1489
Insulation_&_Painting,INL.015,Valve and fitting insulation,each,37
HVAC,HVC.001,Air handling unit 10000 m3/h,each,4
HVAC,HVC.002,Air handling unit 20000 m3/h,each,2
HVAC,HVC.003,Split AC unit 18kW,each,7
HVAC,HVC.004,Package AC unit 50kW,each,9
HVAC,HVC.005,Ductwork galvanised 500x500,m2,509
HVAC,HVC.006,Ductwork galvanised 1000x500,m2,193
HVAC,HVC.007,Supply air diffuser 600x600,each,59
HVAC,HVC.008,Return air grille 600x300,each,28
HVAC,HVC.009,Fire damper 600x400,each,19
HVAC,HVC.010,Volume control damper 600x400,each,31
HVAC,HVC.011,Exhaust fan centrifugal 5000 m3/h,each,4
HVAC,HVC.012,Extract fan ATEX zone 1,each,2
HVAC,HVC.013,Pressurisation fan 2000 m3/h,each,8
HVAC,HVC.014,Chilled water pipe 4in insulated,m,433
HVAC,HVC.015,Refrigerant pipe 7/8in copper,m,70
Buildings_&_Facilities,BLD.001,Modular office building 10m x 6m,each,1
Buildings_&_Facilities,BLD.002,Control room building structure,each,3
Buildings_&_Facilities,BLD.003,Substation building 8m x 5m,each,5
Buildings_&_Facilities,BLD.004,Guard house 4m x 4m,each,1
Buildings_&_Facilities,BLD.005,Workshop building 20m x 10m,each,1
Buildings_&_Facilities,BLD.006,Warehouse building 30m x 15m,each,1
Buildings_&_Facilities,BLD.007,Roof sheeting Colorbond 0.42mm,m2,781
Buildings_&_Facilities,BLD.008,Wall cladding sandwich panel 75mm,m2,932
Buildings_&_Facilities,BLD.009,Raised access flooring 600x600,m2,298
Buildings_&_Facilities,BLD.010,Suspended ceiling grid 600x600,m2,296
Buildings_&_Facilities,BLD.011,Partition wall 90mm stud,m2,268
Buildings_&_Facilities,BLD.012,Hollow core door 900x2100,each,29
Buildings_&_Facilities,BLD.013,Fire door 90min 900x2100,each,14
Buildings_&_Facilities,BLD.014,Window aluminium double glaze,each,5
Buildings_&_Facilities,BLD.015,Toilet and ablution block,each,2
Buildings_&_Facilities,BLD.016,Amenity building 50 person,each,2
Buildings_&_Facilities,BLD.017,Floor tiling ceramic 300x300,m2,51
Buildings_&_Facilities,BLD.018,Painting interior emulsion,m2,899
Buildings_&_Facilities,BLD.019,Plumbing sanitary fittings,lot,3
Buildings_&_Facilities,BLD.020,Kitchen equipment commercial,lot,2
Telecommunications,TEL.001,PABX telephone system,lot,2
Telecommunications,TEL.002,IP telephone handset,each,59
Telecommunications,TEL.003,CCTV camera IP PTZ outdoor,each,37
Telecommunications,TEL.004,CCTV camera IP fixed dome,each,67
Telecommunications,TEL.005,NVR recorder 64 channel,each,2
Telecommunications,TEL.006,CCTV monitor 32 inch,each,4
Telecommunications,TEL.007,Network switch 24 port managed,each,5
Telecommunications,TEL.008,Fibre optic cable SM 12 core,m,1883
Telecommunications,TEL.009,Fibre optic patch panel 24 port,each,1
Telecommunications,TEL.010,Cat6 cable UTP 4 pair,m,4844
Telecommunications,TEL.011,Access control reader prox card,each,25
Telecommunications,TEL.012,PA public address amplifier,each,5
Telecommunications,TEL.013,PA speaker weatherproof 15W,each,12
Telecommunications,TEL.014,UHF radio repeater station,each,3
Telecommunications,TEL.015,UHF portable radio ATEX,each,3
Telecommunications,TEL.016,Satellite VSAT terminal,each,1
Telecommunications,TEL.017,Server rack 42U,each,5
Telecommunications,TEL.018,Network UPS 6kVA,each,4
Telecommunications,TEL.019,Fibre optic splice closure,each,37
Telecommunications,TEL.020,CCTV pole 6m galvanised,each,18
Commissioning_&_Testing,COM.001,Hydrostatic pressure test 6in,m,100
Commissioning_&_Testing,COM.002,Hydrostatic pressure test 8in,m,49
Commissioning_&_Testing,COM.003,Pneumatic leak test 2in,m,540
Commissioning_&_Testing,COM.004,Radiographic examination weld,each,61
Commissioning_&_Testing,COM.005,Ultrasonic examination weld,each,115
Commissioning_&_Testing,COM.006,Magnetic particle inspection,each,55
Commissioning_&_Testing,COM.007,Dye penetrant inspection,each,324
Commissioning_&_Testing,COM.008,Pre-commissioning flushing,lot,1
Commissioning_&_Testing,COM.009,Chemical cleaning and passivation,lot,2
Commissioning_&_Testing,COM.010,Instrument loop check,each,226
Commissioning_&_Testing,COM.011,Functional test control valve,each,20
Commissioning_&_Testing,COM.012,ESD valve stroke test,each,41
Commissioning_&_Testing,COM.013,Fire and gas system test,lot,1
Commissioning_&_Testing,COM.014,Pump performance test site,each,10
Commissioning_&_Testing,COM.015,Compressor performance test,each,1
Commissioning_&_Testing,COM.016,Insulation resistance test cable,each,337
Commissioning_&_Testing,COM.017,Protection relay test,each,10
Commissioning_&_Testing,COM.018,Tank calibration and strapping,each,4
Commissioning_&_Testing,COM.019,HAZOP review closeout action,each,47
Commissioning_&_Testing,COM.020,Commissioning spare parts kit,lot,5
Utilities,UTL.001,Instrument air compressor 10 bar,each,3
Utilities,UTL.002,Instrument air dryer desiccant,each,3
Utilities,UTL.003,Instrument air receiver 1000L,each,2
Utilities,UTL.004,Utility air outlet half-in BSP,each,90
Utilities,UTL.005,Potable water treatment package,each,3
Utilities,UTL.006,Potable water storage tank 50m3,each,3
Utilities,UTL.007,Water well pump submersible,each,2
Utilities,UTL.008,Sewage treatment plant 50 EP,each,2
Utilities,UTL.009,Sewage pump submersible,each,4
Utilities,UTL.010,Oily water separator 5 m3/h,each,2
Utilities,UTL.011,Closed drain sump and pump,each,6
Utilities,UTL.012,Open drain collection pit,each,5
Utilities,UTL.013,Nitrogen generation skid,each,2
Utilities,UTL.014,Diesel fuel storage tank 10m3,each,3
Utilities,UTL.015,Fuel transfer pump 2 m3/h,each,1
Utilities,UTL.016,Chemical storage area bunded,each,1
Utilities,UTL.017,Overhead crane 5 ton EOT,each,4
Utilities,UTL.018,Monorail hoist 2 ton,each,2
Utilities,UTL.019,Eyewash and shower station,each,4
Utilities,UTL.020,Spill kit trolley large,each,19
HSE_&_Safety,HSE.001,Safety shower and eyewash combo,each,8
HSE_&_Safety,HSE.002,Safety sign photoluminescent,each,139
HSE_&_Safety,HSE.003,First aid cabinet wall mount,each,10
HSE_&_Safety,HSE.004,Stretcher and first aid kit,each,4
HSE_&_Safety,HSE.005,Defibrillator AED,each,3
HSE_&_Safety,HSE.006,Wind sock and pole 6m,each,1
HSE_&_Safety,HSE.007,Muster point assembly sign,each,5
HSE_&_Safety,HSE.008,Speed bump rubber 1.8m,each,16
HSE_&_Safety,HSE.009,Convex safety mirror 800mm,each,11
HSE_&_Safety,HSE.010,Welfare container 20ft fitted,each,2
HSE_&_Safety,HSE.011,PPE storage cabinet,each,16
HSE_&_Safety,HSE.012,Breathing apparatus BA set,each,19
HSE_&_Safety,HSE.013,Gas monitor personal 4-gas,each,50
HSE_&_Safety,HSE.014,Noise barrier acoustic panel,m2,97
HSE_&_Safety,HSE.015,Vibration isolation pad pump,each,18
Civil_&_Earthworks,CEW.021,Gravel sub-base 300mm thick - Wellpad 1,m2,6460
Steel_Structures,STL.021,Steel monorail beam - Train 1,m,97
Steel_Structures,STL.022,Davit arm for maintenance - Train 1,each,14
Telecommunications,TEL.021,Cat6 cable UTP 4 pair - Train 3,m,5898
Valves,VLV.026,Gate valve 10in 300lb CS RF - South Battery,each,14
Mechanical_Equipment,MCH.026,Vertical turbine pump - Area B,each,2
Instrumentation_&_Control,INS.031,Pressure gauge 100mm dial - South Battery,each,14
Electrical,ELC.031,HV switchgear panel 11kV - Train 1,each,3
Mechanical_Equipment,MCH.027,Shell and tube heat exchanger - Train 2,each,2
Buildings_&_Facilities,BLD.021,Substation building 8m x 5m - Slug Catcher Area,each,5
Steel_Structures,STL.023,Miscellaneous steelwork - Area C,ton,4
Utilities,UTL.021,Diesel fuel storage tank 10m3 - Train 1,each,3
Electrical,ELC.032,Conduit GI 25mm - Train 1,m,1125
Concrete_Works,CON.021,Reinforced concrete foundation - Wellpad 1,m3,539
Concrete_Works,CON.022,Lean concrete blinding 50mm - Wellpad 3,m3,23
Mechanical_Equipment,MCH.028,Centrifugal pump 200m3/h - Area D,each,5
Buildings_&_Facilities,BLD.022,Roof sheeting Colorbond 0.42mm - Slug Catcher Area,m2,1151
Piping,PIP.041,CS flange RFWN 8in 300lb CS - North Battery,each,133
Piping,PIP.042,Spring hanger variable 4in - Slug Catcher Area,each,3
Electrical,ELC.033,HV switchgear panel 11kV - Slug Catcher Area,each,3
Mechanical_Equipment,MCH.029,Centrifugal pump 200m3/h - South Battery,each,3
Utilities,UTL.022,Spill kit trolley large - Area D,each,16
Civil_&_Earthworks,CEW.022,Slope stabilisation shotcrete - Utilities Area,m2,962
Fire_Protection,FPS.021,Deluge valve station 6in - Wellpad 3,each,1
Valves,VLV.027,Control valve 6in pneumatic - North Battery,each,2
Piping,PIP.043,HDPE pipe DN110 SDR11 - Manifold Area,m,684
Concrete_Works,CON.023,Rebar supply and fix 32mm - South Battery,ton,77
Insulation_&_Painting,INL.016,Topcoat polyurethane 50 micron - Manifold Area,m2,2491
HVAC,HVC.016,Volume control damper 600x400 - Wellpad 2,each,44
Steel_Structures,STL.024,Steel access platform - South Battery,m2,108
Mechanical_Equipment,MCH.030,Plate heat exchanger - Area B,each,4
Instrumentation_&_Control,INS.032,Multicore instrument cable 16P - Wellpad 3,m,1541
Storage_Tanks,TNK.021,Tank internal floating roof - Slug Catcher Area,each,2
Insulation_&_Painting,INL.017,Fireproofing intumescent 2hr - Area D,m2,71
Buildings_&_Facilities,BLD.023,Amenity building 50 person - Train 3,each,1
HSE_&_Safety,HSE.016,First aid cabinet wall mount - Slug Catcher Area,each,5
HVAC,HVC.017,Exhaust fan centrifugal 5000 m3/h - Train 3,each,3
Concrete_Works,CON.024,Rebar supply and fix 32mm - Wellpad 2,ton,102
Commissioning_&_Testing,COM.021,Commissioning spare parts kit - Area D,lot,6
Storage_Tanks,TNK.022,Floating roof tank 10000m3 - Wellpad 1,each,1
Storage_Tanks,TNK.023,Tank heating coil - Manifold Area,m,65
Buildings_&_Facilities,BLD.024,Guard house 4m x 4m - Train 1,each,0
Utilities,UTL.023,Instrument air compressor 10 bar - Manifold Area,each,3
Piping,PIP.044,Pipe support guide CS 8in - Wellpad 1,each,154
Civil_&_Earthworks,CEW.023,Topsoil strip and stockpile - Wellpad 1,m3,1111
Instrumentation_&_Control,INS.033,Flame detector UV IR dual - Wellpad 2,each,72
Instrumentation_&_Control,INS.034,Instrument valve manifold 3-way - Train 3,each,96
Piping,PIP.045,Gasket spiral wound 6in 150lb - Area C,each,148
Commissioning_&_Testing,COM.022,Commissioning spare parts kit - Wellpad 2,lot,2
Valves,VLV.028,Needle valve half-in SS316 - Wellpad 1,each,16
Valves,VLV.029,Gate valve 4in 150lb CS RF - Train 1,each,19
Mechanical_Equipment,MCH.031,Centrifugal pump 50m3/h - Utilities Area,each,10
Concrete_Works,CON.025,Expansion joint 20mm - Export Pump Area,m,204
Commissioning_&_Testing,COM.023,Pneumatic leak test 2in - Train 3,m,657
Electrical,ELC.034,Lighting luminaire LED 250W - Utilities Area,each,18
Piping,PIP.046,CS reducer 6x4in BW - Area A,each,73
Steel_Structures,STL.025,Davit arm for maintenance - Slug Catcher Area,each,13
Utilities,UTL.024,Overhead crane 5 ton EOT - Export Pump Area,each,2
Mechanical_Equipment,MCH.032,Centrifugal pump 200m3/h - Area D,each,5
Fire_Protection,FPS.022,Foam system fixed roof tank - Wellpad 2,each,2
Instrumentation_&_Control,INS.035,Instrument valve manifold 3-way - Slug Catcher Area,each,126
Buildings_&_Facilities,BLD.025,Modular office building 10m x 6m - Export Pump Area,each,1
